ID,IATA,ICAO,name
1,GKA,AYGA,Goroka Airport
2,MAG,AYMD,Madang Airport
3,HGU,AYMH,Mount Hagen Kagamuga Airport
4,LAE,AYNZ,Nadzab Airport
5,POM,AYPY,Port Moresby Jacksons International Airport
6,WWK,AYWK,Wewak International Airport
7,UAK,BGBW,Narsarsuaq Airport
8,GOH,BGGH,Godthaab / Nuuk Airport
9,SFJ,BGSF,Kangerlussuaq Airport
10,THU,BGTL,Thule Air Base
11,AEY,BIAR,Akureyri Airport
12,EGS,BIEG,Egilsstaðir Airport
13,HFN,BIHN,Hornafjörður Airport
14,HZK,BIHU,Húsavík Airport
15,IFJ,BIIS,Ísafjörður Airport
16,KEF,BIKF,Keflavik International Airport
17,PFJ,BIPA,Patreksfjörður Airport
18,RKV,BIRK,Reykjavik Airport
19,SIJ,BISI,Siglufjörður Airport
20,VEY,BIVM,Vestmannaeyjar Airport
21,YAM,CYAM,Sault Ste Marie Airport
22,,CYAV,Winnipeg / St. Andrews Airport
23,,CYAW,Halifax / CFB Shearwater Heliport
24,YAY,CYAY,St. Anthony Airport
25,YAZ,CYAZ,Tofino / Long Beach Airport
26,YBB,CYBB,Kugaaruk Airport
27,YBC,CYBC,Baie Comeau Airport
28,YBG,CYBG,CFB Bagotville
29,YBK,CYBK,Baker Lake Airport
30,YBL,CYBL,Campbell River Airport
31,YBR,CYBR,Brandon Municipal Airport
32,YCB,CYCB,Cambridge Bay Airport
33,YCD,CYCD,Nanaimo Airport
34,YCG,CYCG,Castlegar/West Kootenay Regional Airport
35,YCH,CYCH,Miramichi Airport
36,YCL,CYCL,Charlo Airport
37,YCO,CYCO,Kugluktuk Airport
38,YCT,CYCT,Coronation Airport
39,YCW,CYCW,Chilliwack Airport
40,YCY,CYCY,Clyde River Airport
41,YZS,CYZS,Coral Harbour Airport
42,YDA,CYDA,Dawson City Airport
43,YDB,CYDB,Burwash Airport
44,,CYDC,Princeton Airport
45,YDF,CYDF,Deer Lake Airport
46,YDL,CYDL,Dease Lake Airport
47,YDN,CYDN,Dauphin Barker Airport
48,YDQ,CYDQ,Dawson Creek Airport
49,YEG,CYEG,Edmonton International Airport
50,YEK,CYEK,Arviat Airport
51,YEN,CYEN,Estevan Airport
52,YET,CYET,Edson Airport
53,YEU,CYEU,Eureka Airport
54,YEV,CYEV,Inuvik Mike Zubko Airport
55,YFB,CYFB,Iqaluit Airport
56,YFC,CYFC,Fredericton Airport
57,YFE,CYFE,Forestville Airport
58,YFO,CYFO,Flin Flon Airport
59,YFR,CYFR,Fort Resolution Airport
60,YFS,CYFS,Fort Simpson Airport
61,YGK,CYGK,Kingston Norman Rogers Airport
62,YGL,CYGL,La Grande Rivière Airport
63,YGP,CYGP,Gaspé (Michel-Pouliot) Airport
64,YGQ,CYGQ,Geraldton Greenstone Regional Airport
65,YGR,CYGR,Îles-de-la-Madeleine Airport
66,YHB,CYHB,Hudson Bay Airport
67,YHD,CYHD,Dryden Regional Airport
68,YHI,CYHI,Ulukhaktok Holman Airport
69,YHK,CYHK,Gjoa Haven Airport
70,YHM,CYHM,John C. Munro Hamilton International Airport
71,YHU,CYHU,Montréal / Saint-Hubert Airport
72,YHY,CYHY,Hay River / Merlyn Carter Airport
73,YHZ,CYHZ,Halifax / Stanfield International Airport
74,YIB,CYIB,Atikokan Municipal Airport
75,YIO,CYIO,Pond Inlet Airport
76,YJN,CYJN,St Jean Airport
77,YJT,CYJT,Stephenville Airport
78,YKA,CYKA,Kamloops Airport
79,YKF,CYKF,Waterloo Airport
80,YKL,CYKL,Schefferville Airport
81,YKY,CYKY,Kindersley Airport
82,YKZ,CYKZ,Buttonville Municipal Airport
83,YLD,CYLD,Chapleau Airport
84,YLJ,CYLJ,Meadow Lake Airport
85,YLL,CYLL,Lloydminster Airport
86,YLT,CYLT,Alert Airport
87,YLW,CYLW,Kelowna International Airport
88,YMA,CYMA,Mayo Airport
89,YMJ,CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport
90,YMM,CYMM,Fort McMurray Airport
91,YMO,CYMO,Moosonee Airport
92,YMW,CYMW,Maniwaki Airport
93,YMX,CYMX,Montreal International (Mirabel) Airport
94,YNA,CYNA,Natashquan Airport
95,YND,CYND,Ottawa / Gatineau Airport
96,YNM,CYNM,Matagami Airport
97,YOC,CYOC,Old Crow Airport
98,YOD,CYOD,CFB Cold Lake
99,YOJ,CYOJ,High Level Airport
100,YOW,CYOW,Ottawa Macdonald-Cartier International Airport
101,YPA,CYPA,Prince Albert Glass Field
102,YPE,CYPE,Peace River Airport
103,YPG,CYPG,Southport Airport
104,,CYPK,Pitt Meadows Airport
105,YPL,CYPL,Pickle Lake Airport
106,YPN,CYPN,Port Menier Airport
107,YPQ,CYPQ,Peterborough Airport
108,YPR,CYPR,Prince Rupert Airport
109,YPY,CYPY,Fort Chipewyan Airport
110,YQA,CYQA,Muskoka Airport
111,YQB,CYQB,Quebec Jean Lesage International Airport
112,YQF,CYQF,Red Deer Regional Airport
113,YQG,CYQG,Windsor Airport
114,YQH,CYQH,Watson Lake Airport
115,YQK,CYQK,Kenora Airport
116,YQL,CYQL,Lethbridge County Airport
117,YQM,CYQM,Greater Moncton International Airport
119,YQQ,CYQQ,Comox Airport
120,YQR,CYQR,Regina International Airport
121,YQT,CYQT,Thunder Bay Airport
122,YQU,CYQU,Grande Prairie Airport
123,YQV,CYQV,Yorkton Municipal Airport
124,YQW,CYQW,North Battleford Airport
125,YQX,CYQX,Gander International Airport
126,YQY,CYQY,Sydney / J.A. Douglas McCurdy Airport
127,YQZ,CYQZ,Quesnel Airport
128,YRB,CYRB,Resolute Bay Airport
129,YRI,CYRI,Rivière-du-Loup Airport
130,YRJ,CYRJ,Roberval Airport
131,YRM,CYRM,Rocky Mountain House Airport
132,YRT,CYRT,Rankin Inlet Airport
133,YSB,CYSB,Sudbury Airport
134,YSC,CYSC,Sherbrooke Airport
135,YSJ,CYSJ,Saint John Airport
136,YSM,CYSM,Fort Smith Airport
